Blue,Green,Yellow,Red,Orange
641,896,1179,1586,606
641,888,1170,1589,607
630,891,1168,1586,606
631,888,1164,1581,601
636,885,1162,1583,603
639,891,1160,1580,599
635,869,1158,1579,607
635,889,1162,1581,599
637,884,1164,1585,597
638,886,1159,1577,601
636,890,1162,1573,604
641,877,1160,1566,604
636,878,1160,1576,601
638,884,1161,1576,593
631,875,1153,1556,606
631,878,1159,1572,603
631,884,1158,1567,600
632,877,1154,1578,599
633,879,1161,1569,600
631,876,1161,1571,598
635,881,1154,1568,605
634,880,1153,1571,599
627,880,1154,1562,596
635,881,1153,1565,603
636,885,1151,1568,600
632,877,1152,1576,600
632,875,1153,1570,597
630,871,1153,1569,602
634,880,1153,1562,585
638,882,1163,1565,602
631,879,1154,1569,598
631,873,1151,1562,600
636,880,1153,1567,596
627,876,1148,1565,604
634,876,1145,1560,599
631,875,1156,1577,599
635,877,1151,1559,602
629,877,1149,1558,598
632,875,1160,1566,602
633,877,1148,1555,601
633,870,1147,1563,601
631,872,1151,1570,599
632,873,1155,1560,601
626,873,1138,1559,600
631,871,1148,1565,599
629,873,1156,1562,603
632,879,1149,1558,596
629,885,1148,1564,598
631,880,1156,1566,596
629,875,1148,1552,595
637,869,1145,1561,599
630,877,1150,1565,602
627,882,1153,1555,594
616,869,1147,1562,596
630,871,1144,1556,598
627,876,1151,1561,598
628,874,1137,1554,599
630,877,1146,1569,601
633,877,1149,1566,598
629,880,1140,1565,599
626,867,1139,1553,598
628,869,1150,1548,597
627,874,1143,1565,601
633,876,1144,1553,597
627,866,1147,1549,596
627,872,1149,1553,595
629,876,1147,1557,597
629,867,1139,1553,594
628,869,1141,1557,594
627,872,1140,1563,592
626,869,1148,1550,599
630,875,1144,1560,593
626,877,1149,1554,593
631,873,1140,1555,596
625,874,1146,1549,595
625,873,1143,1546,596
631,874,1139,1547,595
630,874,1145,1555,595
628,866,1141,1545,598
622,870,1142,1549,596
625,871,1141,1554,598
627,867,1138,1554,593
633,871,1144,1554,599
626,872,1144,1543,596
628,872,1138,1548,598
625,870,1136,1550,596
630,865,1136,1547,596
630,863,1145,1555,592
633,872,1141,1557,604
632,871,1130,1554,599
